Distance,Species,Hmax
4,Urochloa decumbens,66
4,indet,44
4,Andropogon cf leucostachyus,63
4,Schefflera vinosa,350
5,Urochloa decumbens,38
5,Andropogon cf leucostachyus,34
5,Leandra aurea,71
5,Miconia albicans,79
5,Alibertia myrciifolia,19
6,Andropogon cf leucostachyus,NA
6,Miconia albicans,80
6,Miconia ligustroides,40
6,Smilax cissoides,82
6,Solanum lycocarpum,230
6,Xylopia aromatica,44
7,Urochloa decumbens,12
7,Aristida sp2,52
7,Andropogon cf leucostachyus,65
7,Miconia albicans,167
7,Miconia ligustroides,145
8,Schizachyrium sp1,33
8,Alibertia myrciifolia,9
8,Aegiphila lhotzkiana,95
9,Bulbostylis sp,13
9,Schizachyrium sp1,45
9,Panicum sp2,34
9,Smilax cissoides,7
10,Duguetia furfuracea,65
10,Bulbostylis sp1,52
10,Schizachyrium sp1,84
10,indet,24
11,Ditassa cf tomentosa,14
11,Schizachyrium sp1,59
11,Alibertia myrciifolia,17
12,Andropogon cf leucostachyus,37
12,Schizachyrium sp1,67
12,Alibertia myrciifolia,38
13,Urochloa decumbens,17
13,indet,20
13,Andropogon cf leucostachyus,29
13,Smilax cissoides,13
14,Andropogon cf leucostachyus,29
14,Ditassa cf tomentosa,14
15,Digitaria sp,45
15,Urochloa decumbens,31
15,Andropogon cf leucostachyus,56
15,Schefflera vinosa,275
15,Alibertia myrciifolia,16
16,Digitaria sp,75
16,Miconia albicans,170
16,Myrcia lingua,46
16,Xylopia aromatica,48
16,Schefflera vinosa,265
16,Solanum lycocarpum,49
17,Erythroxylum suberosum,165
17,Andropogon cf leucostachyus,57
17,indet,7
17,indet,5
17,indet,3
17,Miconia albicans,80
17,Solanum lycocarpum,54
17,Alibertia myrciifolia,75
18,indet,43
18,Andropogon cf leucostachyus,50
18,Digitaria sp,37
18,Alibertia myrciifolia,68
19,Andropogon cf leucostachyus,51
19,Digitaria sp,41
19,Miconia albicans,154
19,Psidium laruotteanum,20
19,Myrcia lingua,45
19,Phyllanthus acuminatus,85
20,Andropogon cf leucostachyus,40
20,Myrcia lingua,43
20,Alibertia myrciifolia,30
21,Andropogon cf leucostachyus,40
21,Digitaria sp,60
22,Andropogon cf leucostachyus,76
22,Miconia albicans,165
22,Piptocarpha rotundifolia,210
23,Andropogon cf leucostachyus,54
23,Digitaria sp,17
24,Hyptis sp,12
24,Andropogon cf leucostachyus,50
24,indet,470
25,Myrcia lingua,23
25,Andropogon cf leucostachyus,68
25,Digitaria sp,41
25,Miconia ligustroides,94
25,Byrsonima intermedia,79
25,Connarus suberosus,18
26,Digitaria sp,32
26,Bulbostylis sp1,14
26,Miconia ligustroides,165
26,Piptocarpha rotundifolia,255
26,Smilax cissoides,134
26,Myrcia bella,98
27,Byrsonima intermedia,12
27,Andropogon cf leucostachyus,21
27,Miconia ligustroides,142
27,Piptocarpha rotundifolia,51
27,Smilax cissoides,132
27,indet,NA
27,Alibertia myrciifolia,9
28,Bulbostylis sp1,16
28,Miconia ligustroides,118
28,Connarus suberosus,17
29,Andropogon cf leucostachyus,60
29,indet,3
29,Miconia ligustroides,80
29,Connarus suberosus,27
29,Erythroxylum cuneifolium,4
29,Alibertia myrciifolia,5
30,Miconia albicans,152
30,Miconia ligustroides,65
30,Memora peregrina,71
30,Smilax cissoides,115
30,indet,128
30,indet,35
30,indet,18
31,Hyptis sp,20
31,Digitaria sp,15
31,Miconia albicans,9
31,Smilax cissoides,35
31,Vochysia tucanorum,13
31,indet,NA
32,Anemopaegma arvense,26
32,Digitaria sp,41
32,indet,5
32,Miconia albicans,215
32,Miconia ligustroides,56
32,Piptocarpha rotundifolia,306
32,Coccocypselum cf lanceolatum,11
32,indet,61
32,Eriosema longifolium,25
33,Andropogon cf leucostachyus,40
33,indet,5
33,Miconia albicans,67
33,Schefflera vinosa,165
33,Bredemeyera laurifolia,27
33,Eriosema longifolium,27
34,Andropogon cf leucostachyus,55
34,Miconia albicans,149
34,Miconia ligustroides,54
34,Myrcia lingua,19
34,Xylopia aromatica,148
35,Andropogon cf leucostachyus,27
35,Digitaria sp,64
35,Miconia albicans,109
35,Piptocarpha rotundifolia,195
35,Vochysia tucanorum,215
36,Digitaria sp,32
36,Miconia albicans,68
36,Miconia ligustroides,39
36,Myrcia bella,28
37,Andropogon cf leucostachyus,29
37,Miconia albicans,73
37,Miconia ligustroides,19
37,indet,9
38,Aegiphila lhotzkiana,50
38,Casearia silvestris,8
38,Andropogon cf leucostachyus,33
38,Miconia ligustroides,18
38,Smilax cissoides,69
39,Aegiphila lhotzkiana,245
39,Andropogon cf leucostachyus,74
39,indet,6
39,indet,6
39,Smilax cissoides,175
39,indet,2
39,Eriosema cf benthamianum,5
40,Andropogon cf leucostachyus,34
40,indet,74
41,Hyptis sp,41
41,Andropogon cf leucostachyus,70
41,indet,5
41,indet,NA
41,Forsteronia glabrescens,10
42,Casearia silvestris,134
42,Connarus suberosus,17
42,Bulbostylis sp,19
42,Andropogon cf leucostachyus,55
42,Digitaria sp,92
42,Miconia albicans,230
42,indet,4
42,davilla elliptica,9
43,Connarus suberosus,32
43,Andropogon cf leucostachyus,44
43,Digitaria sp,26
43,indet,17
44,Bauhinia rufa,143
44,Andropogon cf leucostachyus,25
45,Andropogon cf leucostachyus,21
45,Piptocarpha rotundifolia,170
46,Andropogon cf leucostachyus,47
46,Digitaria sp,46
46,indet,NA
46,Psidium cinereum,73
46,Schefflera vinosa,113
47,Andropogon cf leucostachyus,37
47,Digitaria sp,61
48,Anemopaegma arvense,22
48,Andropogon cf leucostachyus,72
48,Aristida sp2,107
48,Alibertia myrciifolia,19
49,Andropogon cf leucostachyus,42
49,Miconia albicans,215
50,Andropogon cf leucostachyus,27
50,Miconia albicans,57
50,Miconia ligustroides,39
50,Smilax cissoides,20
50,Aristida sp2,55
50,Alibertia myrciifolia,56
50,Xylopia aromatica,77
51,Attalea geraensis,42
51,Digitaria sp,28
51,Andropogon cf leucostachyus,72
51,Miconia albicans,155
51,Pera glabrata,41
52,Anemopaegma arvense,29
52,Andropogon cf leucostachyus,30
52,Miconia albicans,170
52,Myrcia bella,135
52,Myrcia lingua,95
53,Anemopaegma arvense,12
53,Andropogon cf leucostachyus,93
53,Myrcia lingua,96
53,Schefflera vinosa,280
53,Smilax cissoides,17
53,Xylopia aromatica,275
54,Diospyros hispida,38
54,Andropogon cf leucostachyus,29
54,Stryphnodendron obovatum,31
55,Andropogon cf leucostachyus,52
55,Leandra aurea,75
55,Maprounea guianensis,438
55,Myrcia lingua,12
55,Schefflera vinosa,27
56,Andropogon cf leucostachyus,73
56,Miconia albicans,113
56,Calyptranthes cf lucida,81
56,Byrsonima intermedia,70
57,Hyptis sp,159
57,Andropogon cf leucostachyus,23
57,Schefflera vinosa,16
57,Ouratea spectabilis,9
57,Alibertia myrciifolia,24
58,Schefflera vinosa,112
59,Miconia albicans,112
60,Andropogon cf leucostachyus,75
60,Maprounea guianensis,119
60,Miconia ligustroides,151
61,Byrsonima intermedia,131
61,Schefflera vinosa,350
62,Byrsonima intermedia,122
62,Andropogon cf leucostachyus,34
62,Miconia albicans,141
62,indet,70
63,Miconia albicans,63
63,Paspalum cf pilosum,40
64,indet,13
64,indet,33
65,Andropogon cf leucostachyus,46
65,indet,39
65,indet,190
65,Vochysia tucanorum,17
65,indet,63
66,Andropogon cf leucostachyus,24
66,Miconia ligustroides,36
66,Schefflera vinosa,295
66,indet,59
67,Andropogon cf leucostachyus,45
67,davilla elliptica,51
67,Miconia albicans,210
67,Cayaponia espelina,16
67,Alibertia myrciifolia,68
67,Ditassa cf tomentosa,146
68,Aristida sp1,59
68,Andropogon cf leucostachyus,70
68,davilla elliptica,42
68,Schefflera vinosa,168
68,Smilax cissoides,17
68,indet,34
68,Alibertia myrciifolia,15
69,Andropogon cf leucostachyus,18
69,Miconia albicans,190
70,Andropogon cf leucostachyus,27
70,Miconia albicans,99
70,Erythroxylum tortuosum,37
70,Alibertia myrciifolia,47
71,Cayaponia espelina,15
71,Miconia albicans,103
71,Piptocarpha rotundifolia,345
71,Schefflera vinosa,19
71,indet,66
72,indet,8
72,indet,1
72,Miconia albicans,126
72,indet,17
72,indet,9
73,Duguetia furfuracea,61
73,Andropogon cf leucostachyus,56
73,Casearia silvestris,15
73,indet,15
73,Serjania erecta,3
74,Andropogon cf leucostachyus,19
74,Miconia albicans,225
74,Schefflera vinosa,235
74,Smilax cissoides,11
74,Duguetia furfuracea,10
74,Xylopia aromatica,146
75,Rhynchospora cf aurea,39
75,Melinis minutiflora,31
75,Miconia ligustroides,28
75,Smilax cissoides,63
75,Alibertia myrciifolia,12
75,Xylopia aromatica,32
76,Rhynchospora cf aurea,33
76,indet,13
76,indet,5
76,Melinis minutiflora,16
76,Miconia albicans,129
76,Miconia ligustroides,30
76,Smilax cissoides,42
76,Qualea cordata,12
76,Xylopia aromatica,30
77,Bulbostylis sp,14
77,Digitaria sp,17
77,indet,2
77,Miconia ligustroides,127
77,Smilax cissoides,31
77,indet,564
78,Bulbostylis sp,8
78,Digitaria sp,8
78,Melinis minutiflora,12
78,Myrcia lingua,173
78,Erythroxylum deciduum,176
78,Alibertia myrciifolia,4
78,Xylopia aromatica,58
79,Andropogon cf leucostachyus,29
79,Miconia albicans,215
79,indet,2
79,Alibertia myrciifolia,5
80,Andropogon cf leucostachyus,52
80,indet,34
81,Andropogon cf leucostachyus,35
81,Melinis minutiflora,31
81,Miconia albicans,275
81,indet,9
82,Bulbostylis sp,9
82,indet,5
82,Andropogon cf leucostachyus,25
82,Digitaria sp,32
82,Melinis minutiflora,20
82,Smilax cissoides,8
82,Alibertia myrciifolia,4
83,Bulbostylis sp,28
83,Melinis minutiflora,32
