Species,Family,Lifeform,Disp
Anacardium humile,Anacardiaceae,Herbaceous,Animal
Annona coriacea,Annonaceae,Woody,Animal
Annona crassiflora,Annonaceae,Woody,Animal
Annona dioica,Annonaceae,Herbaceous,Animal
Duguetia furfuracea,Annonaceae,Woody,Animal
Xylopia aromatica,Annonaceae,Woody,Animal
Aspidosperma tomentosum,Apocynaceae,Woody,Wind
Blepharodon cf bicuspidatum,Apocynaceae,Vine,Wind
Ditassa cf tomentosa,Apocynaceae,Vine,Wind
Forsteronia glabrescens,Apocynaceae,Vine,Wind
Oxypetalum cf appendiculatum,Apocynaceae,Vine,Wind
Oxypetalum sp,Apocynaceae,Vine,Wind
Schefflera vinosa,Araliaceae,Woody,Animal
Attalea geraensis,Arecaceae,Herbaceous,Animal
Achyrocline sp,Asteraceae,Graminoid,Wind
Baccharis dracunculifolia,Asteraceae,Woody,Wind
Bulbostylis sp,Asteraceae,Graminoid,Wind
Bulbostylis sp1,Asteraceae,Graminoid,Wind
Chromolaena sp,Asteraceae,Herbaceous,Wind
Gochnatia pulchra,Asteraceae,Woody,Wind
Piptocarpha rotundifolia,Asteraceae,Woody,Wind
Anemopaegma arvense,Bignoniaceae,Herbaceous,Wind
Anemopaegma glaucum,Bignoniaceae,Herbaceous,Wind
Jacaranda caroba,Bignoniaceae,Woody,Wind
Memora peregrina,Bignoniaceae,Woody,Wind
Pyrostegia venusta,Bignoniaceae,Vine,Wind
Tabebuia ochracea,Bignoniaceae,Woody,Wind
Ananas ananassoides,Bromeliaceae,Herbaceous,Animal
Protium ovatum,Burseraceae,Woody,Animal
Kielmeyera coriacea,Calophyllaceae,Woody,Wind
Caryocar brasiliense,Caryocaraceae,Woody,Animal
Peritassa campestris,Celastraceae,Herbaceous,Animal
Licania rigida,Chrysobalanaceae,Woody,Animal
Connarus suberosus,Connaraceae,Woody,Animal
Rourea induta,Connaraceae,Woody,Animal
Cayaponia espelina,Cucurbitaceae,Herbaceous,Animal
Cyperus sp,Cyperaceae,Graminoid,Wind
Fimbristylis sp,Cyperaceae,Graminoid,Wind
Rhynchospora cf aurea,Cyperaceae,Graminoid,Wind
Davilla elliptica,Dilleniaceae,Vine,Animal
Doliocarpus sp,Dilleniaceae,Vine,Self
Diospyros hispida,Ebenaceae,Woody,Animal
Erythroxylum cuneifolium,Erythroxylaceae,Woody,Animal
Erythroxylum deciduum,Erythroxylaceae,Woody,Animal
Erythroxylum suberosum,Erythroxylaceae,Woody,Animal
Erythroxylum tortuosum,Erythroxylaceae,Woody,Animal
Croton antisyphiliticus,Euphorbiaceae,Herbaceous,Self
Croton cf hirtus,Euphorbiaceae,Herbaceous,Self
Croton sp,Euphorbiaceae,Herbaceous,Self
Maprounea guianensis,Euphorbiaceae,Woody,Animal
Sapium glandulosum,Euphorbiaceae,Woody,Animal
Acosmium subelegans,Fabaceae,Woody,Wind
Anadenanthera falcata,Fabaceae,Woody,Self
Andira humilis,Fabaceae,Woody,Animal
Bauhinia rufa,Fabaceae,Woody,Self
Bowdichia virgilioides,Fabaceae,Woody,Wind
Chamaecrista cf cathartica,Fabaceae,Herbaceous,Self
Chamaecrista desvauxii,Fabaceae,Herbaceous,Self
Chamaecrista flexuosa,Fabaceae,Herbaceous,Self
Chamaecrista sp,Fabaceae,Herbaceous,Self
Copaifera langsdorffii,Fabaceae,Woody,Animal
Dalbergia miscolobium,Fabaceae,Woody,Wind
Dimorphandra mollis,Fabaceae,Woody,Animal
Eriosema cf benthamianum,Fabaceae,Herbaceous,Self
Eriosema crinitum,Fabaceae,Herbaceous,Self
Eriosema longifolium,Fabaceae,Herbaceous,Self
Galactia decumbens,Fabaceae,Vine,Self
Inga sp,Fabaceae,Woody,Animal
Mimosa dolens,Fabaceae,Herbaceous,Animal
Mimosa nuda,Fabaceae,Herbaceous,Self
Mimosa sp,Fabaceae,Herbaceous,Self
Mimosa velloziana,Fabaceae,Herbaceous,Self
Mimosa xanthocentra,Fabaceae,Herbaceous,Wind
Plathymenia reticulata,Fabaceae,Woody,Wind
Sclerolobium paniculatum,Fabaceae,Woody,Wind
Senna rugosa,Fabaceae,Woody,Self
Stryphnodendron adstringens,Fabaceae,Woody,Animal
Stryphnodendron obovatum,Fabaceae,Woody,Animal
Stylosanthes guianensis,Fabaceae,Herbaceous,Self
Zornia diphylla,Fabaceae,Herbaceous,Animal
Gleichenia sp.,Gleicheniaceae,Fern,Wind
Aegiphila lhotzkiana,Lamiaceae,Woody,Animal
Hyptis crinita,Lamiaceae,Herbaceous,Self
Hyptis marrubioides,Lamiaceae,Herbaceous,Self
Hyptis sp,Lamiaceae,Herbaceous,Self
Peltodon tomentosus,Lamiaceae,Herbaceous,Self
Ocotea pulchella,Lauraceae,Woody,Animal
Diplusodon virgatus,Lythraceae,herbaceous,Self
Banisteriopsis argyrophylla,Malpighiaceae,Vine,Wind
Banisteriopsis stellaris,Malpighiaceae,Herbaceous,Wind
Byrsonima intermedia,Malpighiaceae,Woody,Animal
Byrsonima pachyphylla,Malpighiaceae,Woody,Animal
Byttneria sagittifolia,Malvaceae,Herbaceous,Self
Eriotheca gracilipes,Malvaceae,Woody,Wind
Sida cf rhombifolia,Malvaceae,Herbaceous,Self
Leandra aurea,Melastomataceae,Woody,Animal
Miconia albicans,Melastomataceae,Woody,Animal
Miconia fallax,Melastomataceae,Woody,Animal
Miconia ligustroides,Melastomataceae,Woody,Animal
Miconia rubiginosa,Melastomataceae,Woody,Animal
Miconia stenostachya,Melastomataceae,Woody,Animal
Tibouchina stenocarpa,Melastomataceae,Woody,Wind
Cissampelos ovalifolia,Menispermaceae,Herbaceous,Self
