Personagem	Ordem	Saga	Poder
Goku	1	1	42
Yamcha	2	1	34
Krilin	3	1	32
Ox Satan	4	1	65
Kame	5	1	120
Bacterian	6	1	NA
Lanfan	7	1	NA
Giran	8	1	NA
Nam	9	1	NA
Coronel Silver	10	1	NA
General White	11	1	NA
General Blue	12	1	NA
General Black	13	1	NA
Robô de Combate	14	1	NA
Sargento Metálico	15	1	NA
Ninja Púrpura	16	1	NA
Octavio	17	1	NA
Buyon	18	1	NA
Robô Pirata	19	1	NA
Bora	20	1	NA
Tao Pai Pai	21	1	NA
Mestre Karin	22	1	NA
Son Gohan	23	1	NA
Draculaman	24	1	NA
Homem Invisível	25	1	NA
Múmia Guerreira	26	1	NA
Akkuman	27	1	NA
Tsuru	28	1	NA
Ten Shin Han	29	1	NA
Rey Chapa	30	1	NA
Chaoz	31	1	NA
Homem Lobo	32	1	NA
Panputt	33	1	NA
Yajirobe	34	1	NA
Piccolo Daimaku	35	1	NA
Cymbal	36	1	NA
Tambourine	37	1	NA
Drum	38	1	NA
Mr. Popo	39	1	NA
Kami sama	40	1	NA
Chichi	41	1	NA
Goku	1	2	86
Yamcha	2	2	57
Krilin	3	2	68
Ox Satan	4	2	NA
Kame	5	2	132
Bacterian	6	2	20
Lanfan	7	2	36
Giran	8	2	60
Nam	9	2	70
Coronel Silver	10	2	NA
General White	11	2	NA
General Blue	12	2	NA
General Black	13	2	NA
Robô de Combate	14	2	NA
Sargento Metálico	15	2	NA
Ninja Púrpura	16	2	NA
Octavio	17	2	NA
Buyon	18	2	NA
Robô Pirata	19	2	NA
Bora	20	2	NA
Tao Pai Pai	21	2	NA
Mestre Karin	22	2	NA
Son Gohan	23	2	NA
Draculaman	24	2	NA
Homem Invisível	25	2	NA
Múmia Guerreira	26	2	NA
Akkuman	27	2	NA
Tsuru	28	2	NA
Ten Shin Han	29	2	NA
Rey Chapa	30	2	NA
Chaoz	31	2	NA
Homem Lobo	32	2	NA
Panputt	33	2	NA
Yajirobe	34	2	NA
Piccolo Daimaku	35	2	NA
Cymbal	36	2	NA
Tambourine	37	2	NA
Drum	38	2	NA
Mr. Popo	39	2	NA
Kami sama	40	2	NA
Chichi	41	2	NA
Goku	1	3	89
Yamcha	2	3	NA
Krilin	3	3	68
